database_identifier	chemical_formula	smiles	inchi	metabolite_identification	chemical_shift	multiplicity	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	aps_p2	aps_p6	aps_d10	aps_d11	aps_d12	aps_d13	aps_d14	aps_p3	aps_d15	aps_d16	aps_d17	aps_d19	aps_d18	aps_p14	aps_p4	aps_p27	aps_p26	aps_p25	aps_p24	aps_p23	aps_p21	aps_p20	aps_p22	aps_d9	aps_p9	aps_p7	aps_p8	aps_d8	aps_d7	aps_d6	aps_d5	aps_d4	aps_d3	aps_d2	aps_p1	aps_d1	aps_p13	aps_p10	aps_p11	aps_p18	aps_p19	aps_p16	aps_p12	aps_p17	aps_p15	aps_d26	aps_d25	aps_d27	aps_d22	aps_d21	aps_d24	aps_d23	aps_d20	aps_p5
CHEBI:1148	C4H8O3	CCC(O)C(O)=O	InChI=1S/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)	2-Hydroxybutyrate			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							135	26.2	186.3	65.3	32.3	11.1	14.7	27.8	57.4	62.6	22.2	12.3	12.3	211.1	148.1	41.9	48.7	263.2	174.6	89.3	28.5	28.2	21.9	14.5	81.8	78.2	79.2	69.6	68.7	53.7	202.9	24.2	241.1	124.3	102.7	38.4	70.3	30.7	34.4	28.7	35.2	101.8	67.7	44.7	10	68.8	328.0	204.4	45.2	235.5	91.5	39.7	62.5	58.8
CHEBI:20067	C4H8O3	CC(O)CC(O)=O	InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)	3-Hydroxybutyrate			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							10.2	15.9	44.9	85.4	24.4	75.5	22.4	24.7	52.6	74.3	40.1	7.2	7.2	30.3	32.1	19.3	47.5	21.4	37.6	9.1	79	12	17.6	63.3	321.4	42.8	12	20.6	13.4	48.8	34.1	32.8	66.3	49.2	22.4	21	32.2	34.8	5.3	30.1	47.1	13.9	44.6	31.7	17.3	58.4	65.5	87.1	40.5	37.7	70.1	30.2	88.3	7.9
CHEBI:46195	C8H9NO2	CC(=O)Nc1ccc(O)cc1	InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)	Acetaminophen			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							6.3	16	22.2	9	22.2	7.7	11.1	6.7	8.4	6.5	21.2	6.9	6.9	20.6	4	8.7	23.8	13	17.6	12.8	6.1	2.8	16.8	16.8	9.2	30.7	17.4	20.9	4.9	13.2	21.5	20.1	30.6	27.2	9.9	6.2	7.3	10.3	6.3	8.4	6.6	12.7	8.8	6.5	14.9	37.2	49.1	65	33.2	27	44	7.9	54.6	8
CHEBI:15366	C2H4O2	CC(O)=O	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)	Acetate			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							10.5	17.5	40	19.4	14	13.8	15.1	12.5	14.5	20.5	71.5	24	24	16.4	8.6	15.9	37.9	28.7	39	13.7	10.9	6	27.3	16.3	16.6	51.1	21.7	30.3	10.2	11.2	27.9	22.6	49.5	40.7	19.6	6.1	12.2	14.5	7.4	10.4	9.5	18	9.7	13.3	12.7	60.4	52	81.7	31.1	29	37.3	4.9	74.5	15.7
CHEBI:15344	C4H6O3	CC(=O)CC(O)=O	InChI=1S/C4H6O3/c1-3(5)2-4(6)7/h2H2,1H3,(H,6,7)	Acetoacetate			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							68.9	44	37.4	57.4	44.7	67.6	49.2	41.1	32.6	7.9	24.3	65.1	65.1	23.4	42.3	53.3	74.7	131.1	66.5	71.4	24.7	23.3	68.2	28.9	55	60	71.3	29.3	86	11.6	70.4	15.3	41.9	39.1	42.6	40.8	70.8	37.9	7.8	44.9	42.8	97.4	35.5	98.3	93.7	50.8	54.2	78.1	35.7	26.6	37.1	38.7	191.4	47.7
CHEBI:15347	C3H6O	CC(C)=O	InChI=1S/C3H6O/c1-3(2)4/h1-2H3	Acetone			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							13.7	5.9	21.7	10.6	2.5	62.5	8.7	6.9	10.7	17.7	13	7.9	7.9	13.4	6.7	6.1	16.8	11	14.8	5.9	4.3	2.1	10.5	14.9	5	40.1	8	19.2	2.7	6.7	15.3	9.7	24.7	18.8	9.6	1.8	5	6.6	4.1	3.8	7.6	8.9	4.8	4.1	8.1	28.1	31.5	51.6	19.1	12.9	17.6	12.9	39.5	4.5
CHEBI:16449	C3H7NO2	CC(N)C(O)=O	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)	Alanine			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							43.4	59.9	72	26.3	143.4	25.1	46	31.7	36	44.1	71.6	38.7	38.7	70	21.5	31.3	62.4	74.5	41.7	41	10.7	16.3	39.3	14.2	52.4	58.6	50.5	34.7	33.8	26	51.1	61.6	90	95.3	35	20.1	37.1	30.7	20.6	23.6	27	56.4	35.1	24.9	77	118.3	81.1	111.5	59.7	63.3	116.7	18.9	91.6	31.9
CHEBI:29016	C6H14N4O2	NC(CCCNC(N)=N)C(O)=O	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	Arginine			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							33	178.1	203.7	139.8	139.4	193.4	288.1	81.4	192.8	115.5	85.4	114.1	114.1	136.5	116.3	78.7	325.2	1262.6	952.5	1214.5	47.8	140.4	169.6	63.9	88	88.9	160.1	165.2	111.7	53.5	209.2	67.9	267.9	224.8	146.9	175.4	326	100.8	55.1	164.2	153.6	407.2	63.3	195.2	351.9	206.5	305.6	190.7	163.7	158.8	371.7	46.8	106.5	222.7
CHEBI:22653	C4H8N2O3	NC(CC(N)=O)C(O)=O	InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)	Asparagine			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							119.7	75.4	196.1	81.9	82	29.2	90.2	42.8	67.5	82.1	128	77.4	77.4	185.2	115.7	50.5	161.2	226.3	214.7	88.3	30.3	28.3	98.6	18.1	71.2	93.3	90	80.1	40.3	75.3	98.4	98.4	243.1	121.7	79.4	37.2	70.7	35.4	44.5	9.6	30	97.2	73.9	58.5	171.7	214.6	254.2	193.0	229.9	171.9	281.1	93.8	275	55.1
CHEBI:22660	C4H7NO4	NC(CC(O)=O)C(O)=O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)	Aspartate			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							53.6	42	182.5	81.4	26.5	17.4	41.5	12.6	66.6	35.4	143.2	62.5	62.5	292.8	46.9	42.7	221.1	132.2	203.8	83	21.8	11.6	83.2	0.01	27.7	345.2	53.2	151	17.1	31	193.8	90.3	259.3	189.5	44.5	18.2	48.9	23.4	19.6	9.3	14.7	50.6	75.7	27.1	286.2	184.6	247.9	144.5	125.9	136.1	206.5	163.8	212.5	59.5
CHEBI:17750	C5H11NO2	C[N+](C)(C)CC([O-])=O	InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3	Betaine			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							57.6	47.8	53.7	39.1	31	40.4	77.4	53.1	31.7	39.6	48.7	49.1	49.1	65.7	42.8	43.9	54.9	31.8	48	51.8	18.8	36.3	58	20.7	54	28	64.9	42.2	75.7	13.2	17.6	26.6	36.6	24.8	49	27.5	76.5	28.6	10	13	32.1	61.9	51.5	69.4	80.1	52.2	26.5	31.4	22.4	17.8	18	16.8	34.8	53.3
