,(R)-3-Hydroxybutyric acid,acetate,acetoacetate,L-alanine,L-valine,hypoxanthine,citrate,creatinine,L-glutamine,glycine,histidine,L-allo-Isoleucine,isopropanol,L-Lactic acid,L-leucine,lipoproteins,methanol,Dimethyl sulfone,D-phenylalanine,Pyruvic acid,L-tyrosine
0_0001_S,5.847646243,77.30376571,60.50873642,1417.944839,302.95551,5.619953385,131.286066,112.1904699,929.6078083,313.6809814,64.58512636,44.36731772,44.92042957,1552.452314,405.8760097,46209.04276,381.0340009,49.87415573,175.5163491,261.9228874,108.1624943
0_0002_S,0.965907718,45.77924789,79.48580922,1007.048134,334.4622026,2.85307836,108.3472317,122.6114372,1109.071316,329.5098376,55.60792235,44.32281435,95.54235096,2762.021588,305.7141431,25686.49788,498.8546264,98.13401432,117.2241489,139.8455718,102.1127616
0_0003_S,6.712743389,122.1497352,56.91450528,1033.135943,315.9090123,7.245880157,142.0806696,92.86748461,1049.862541,300.9991111,55.2863601,46.91195855,166.0131449,1699.361422,507.016199,39590.83957,759.5814878,26.45230354,229.2337841,171.0803554,117.6041005
0_0004_S,0.0,22.45366579,28.91957251,1140.332866,276.5488264,1.646689345,97.31069022,154.2973381,1171.352956,350.5614173,61.48460258,54.58515792,24.63499196,729.0910878,350.845042,25625.83355,703.0489849,20.57708683,153.6789422,70.9043499,132.9005496
0_0008_S,0.0,77.44292718,31.10753817,1155.909608,367.5240658,3.704640819,120.7779456,104.4519701,1219.97722,337.178862,60.13584224,55.69292222,33.3076339,1130.678774,528.2677414,28800.37228,482.5743749,41.45479323,187.3961333,86.00086491,149.3137422
0_0009_S,0.0,50.55375594,40.53575628,1277.382481,231.0187407,3.179846153,100.2520487,89.70572532,1100.182354,366.0028932,55.38886062,41.08935227,262.75721,1294.92981,253.3939096,38621.7527,557.9176591,54.39387641,179.4862063,138.2243983,110.956748
0_0012_S,7.972163704,24.46370103,48.96212595,1243.240761,330.4382464,3.133948651,124.9443266,119.1583536,1005.736085,256.2546998,55.60947731,48.16565715,52.88437,1813.253926,390.1696682,33477.30164,400.936307,19.20260399,135.0666876,81.78093484,114.3434734
0_0014_S,0.0,37.37366353,37.99498779,1000.00947,365.079671,4.187614159,144.5519334,136.8740801,1005.200099,325.3644002,52.52325676,46.77315778,38.21710587,1895.974466,475.3485441,32295.38485,431.0531152,13.63972427,149.5528656,98.71209584,137.4064087
0_0025_S,0.0,29.07840829,44.07078957,1039.000084,369.1211122,4.10188345,98.34453941,97.55456721,1003.36979,315.0041993,68.24358083,50.3398529,467.852108,1420.552922,321.1850644,29152.66257,429.3744363,23.4590624,143.3738223,112.8228483,134.0465563
0_0027_S,3.125682549,64.62796523,25.93106187,1297.251813,334.5236979,3.464568476,75.52399802,120.0579197,1017.968255,304.1548974,70.18265932,44.144113,41.85834493,2345.91842,375.3817711,27645.48171,382.5397428,78.71234977,139.943087,105.6913583,118.3415746
0_0029_S,0.0,29.19066676,36.02157372,1577.980357,436.269388,5.107597867,126.3706167,76.92708106,875.8337366,410.1099265,89.59381928,53.60907246,67.04345227,3331.669358,475.7591426,27084.39356,346.3036752,0.0,207.6637199,222.0231239,111.0270501
0_0030_S,1.75821524,35.2910983,55.640623,1025.14655,376.6575666,4.19334397,76.0460961,113.1904619,871.3467366,355.8630043,74.17049382,57.50162174,317.1214945,1479.389098,418.0907744,44512.8096,372.9683487,15.28675263,177.6664012,105.831346,145.079952
0_0033_S,4.363324786,23.46235282,48.58676654,1315.70442,322.9606916,3.216969428,134.3156146,114.3248146,606.4258715,264.636795,64.88394943,44.8139918,126.4087,2211.952141,282.9496972,41515.23689,320.0394286,19.27261771,172.6246367,173.3380216,107.2706253
0_0037_S,87.1889219,52.31924066,123.8649565,1176.040187,361.6624007,0.0,168.1719588,103.3476654,637.9357653,280.3064457,67.09629359,46.33029866,5.331276809,1800.869653,425.6354651,28501.79318,328.2300465,19.97517446,133.988033,127.1194313,124.8541698
0_0038_S,0.0,33.62966361,15.75845748,1300.681669,393.5661406,4.82863582,78.89934864,91.32668588,1265.172722,337.1972135,83.08618136,71.69967835,216.9682642,2415.819708,515.9404955,33948.70741,524.3906875,18.99220394,206.6537835,97.65234795,169.0519037
0_0041_S,74.40319023,86.62283849,231.4823848,1116.855621,283.9600536,4.83962829,156.661531,87.99204274,1118.027896,294.7493309,73.77084969,41.36437608,62.79107633,887.3835233,275.4868791,26956.15152,566.299623,26.79434302,129.8037351,139.0226585,134.9890207
0_0045_S,0.0,43.98457534,54.047247,1067.256857,341.5233522,0.919101279,96.06602032,141.9953665,989.1766966,297.9770505,71.6485986,61.58712963,78.50319094,1490.86256,403.2165051,34810.64935,377.5426709,6.911801068,159.3789441,94.28640549,121.0210464
0_0046_S,0.0,38.80956274,46.71555946,1766.231354,414.8392826,5.326245739,124.4535991,136.5669888,916.1951683,387.4315059,60.41611831,66.90302301,61.26550033,3014.563921,508.9434307,31745.99529,662.2958639,39.96527272,218.0758876,263.0324578,145.2233019
0_0052_S,0.0,74.42744004,28.93624855,1335.821023,423.6637008,4.042291924,147.8530083,125.8211864,1043.140423,384.7313238,60.40650826,66.84332094,16.84452714,1479.672192,691.250391,28726.40456,737.7908188,46.90067369,189.4556226,59.92073724,175.0775856
0_0053_S,49.04995778,34.05782601,171.0002841,1127.654897,389.8996792,1.064717867,114.1646071,86.54982946,956.8187672,288.4420368,54.43895342,65.79878425,84.03449197,1856.988797,512.9457664,24742.49853,394.936384,28.23511939,138.8503579,111.3021339,115.902953
0_0054_S,7.357997939,44.24100823,69.06208594,1513.237057,593.192784,6.217708183,140.7120481,123.5663371,953.7706841,295.953797,49.01514293,109.67811,146.0302735,2942.306937,750.0241351,33995.41372,512.1974673,24.51107056,222.4652364,195.7653551,233.8707244
0_0055_S,0.070480999,80.23856322,54.83545462,1341.525424,481.4378669,2.302610962,126.2551809,101.3446669,1145.266988,296.2169372,85.88052582,65.7172465,211.4893657,1236.219475,697.160059,32564.10296,306.9817795,32.42030434,161.2657773,130.9836388,174.6519219
0_0058_S,0.0,33.6481602,41.51944695,1214.896978,275.3509864,3.103853076,106.0456051,129.9582185,986.2457931,279.5836263,52.53833839,43.77506992,134.0458401,1597.868135,346.1334119,34246.5333,597.2775456,33.9234993,138.6403386,67.28536651,121.9409319
0_0063_S,56.58793652,70.63689745,200.6892827,861.583934,324.9795232,4.346192197,90.28617417,110.1362379,819.8120917,279.4806142,58.76360833,50.39839993,39.62967766,1037.119945,407.4006149,37139.66622,801.9156613,14.31854378,169.5105517,88.84755213,91.29006028
0_0069_S,10.73239684,52.71208023,63.52112909,1159.160068,284.2674999,5.471315695,141.7827362,119.4743698,901.2773148,354.7996396,70.88225841,44.31533735,182.717037,988.3672286,477.0418311,29372.68444,588.8896509,12.22735147,145.0589956,130.6962547,98.77821881
0_0073_S,0.0,34.34335178,14.88707924,1093.606485,345.4712196,2.840969132,73.37379085,119.0488867,1079.125307,351.8264579,51.0872594,52.97168557,246.6750926,1669.385418,479.2406892,24572.40832,910.1598724,24.28042425,160.9664189,109.5367408,131.2381941
0_0079_S,0.0,76.84508005,43.2011105,1395.349349,365.6107834,7.24144513,94.39867446,59.15674411,886.2403819,310.4302048,58.32525863,55.64230819,75.03455919,2545.246688,365.6751156,27083.30108,402.3293811,34.7592292,160.2153035,140.0268943,142.2300538
0_0081_S,20.16506278,76.79173126,87.84780333,1320.188388,355.4508763,1.336172365,162.3726448,97.27605467,794.5030429,264.9143819,46.49842313,47.2226485,39.17068447,1798.541088,401.7438977,32399.01339,445.9263366,34.35985082,174.4836139,227.1834119,111.341254
0_0089_S,41.51266496,40.36984894,174.609286,1464.028534,482.950374,5.153248661,124.7326716,106.9403246,1131.209043,237.2336428,70.2821453,64.45353016,91.89744498,1350.181226,693.2344569,51487.92659,398.3354478,36.03874228,188.4677953,70.15606424,148.7967324
0_0092_S,0.0,35.55461862,25.44015647,1380.686479,363.8155303,6.573022038,100.0377012,87.00384237,853.2988339,228.9865933,66.71169227,44.88502595,255.6083619,2694.357629,448.7561512,36736.58312,791.4233734,35.31153389,198.1594689,131.5732939,128.0871303
0_0095_S,4.019941855,49.89596442,58.52890953,1241.463585,322.7387093,5.505814175,93.99065148,128.5604468,800.9429675,270.9932555,49.28398638,52.3076101,97.24889833,2038.016857,478.2353446,23113.81773,612.1613763,27.66687904,165.3971209,200.621204,96.74004987
0_0099_S,3.689578685,65.8380863,39.57321895,1607.601696,462.2819152,4.049875195,149.1262047,121.4831682,876.5051876,411.3078284,81.94900989,79.54007038,221.5873579,3129.489269,723.1190542,31175.05937,918.6610291,21.08069019,238.2762658,136.1885739,128.7880891
0_0100_S,0.0,37.39516328,15.65175009,1484.945905,265.1964294,5.248628849,81.07354121,41.64615077,793.2060083,249.902145,45.24182718,55.66257525,48.0402823,1781.479255,450.3098231,48298.15314,625.0958094,21.03602515,159.1612587,159.4598321,141.8263151
0_0103_S,0.0,37.02476548,25.8952053,1382.246213,419.8562569,6.78016039,112.1216273,105.2573008,1023.850822,319.0457604,50.19824489,58.22790207,174.4313507,3206.445523,363.8294832,49871.30122,775.3811446,41.89761169,171.9190121,328.3731969,127.8458011
0_0106_S,10.44229881,63.80064,55.2797846,984.2249136,348.8737237,7.228039659,92.36162262,92.05772465,944.5640141,262.9908596,62.7728129,56.08500187,670.8442699,1985.448849,380.7146818,24718.95403,664.4313104,36.24356396,160.2167205,88.81956811,106.253
0_0110_S,0.0,55.64766727,31.031795,1071.517606,333.5051075,4.585423611,109.2770083,91.29618263,862.8936145,278.9948887,53.628289,46.43255985,148.3251052,2048.148462,521.4450753,29212.66428,601.1917414,43.37967746,200.7646149,133.4426124,115.5733086
0_0112_S,0.0,39.10392217,47.78491774,1559.823405,395.6342763,5.587673891,109.3825938,91.786959,1004.193955,281.5398662,70.68423518,55.93788666,327.8240855,3551.322959,507.1822488,27580.46559,420.0656873,34.94005607,196.1520629,199.2368131,141.9402576
0_0114_S,27.14057103,52.1713578,122.2074065,1095.898149,319.5316963,5.421278238,81.1040456,118.7529405,1039.410005,243.4802037,52.90685974,56.1903891,98.03611846,1465.399272,411.5799355,25981.90991,243.6125528,24.47311765,136.2025518,126.0783954,113.5871871
0_0116_S,16.26693828,47.63781571,99.36064699,1087.85278,332.3737647,4.17949771,108.4784161,82.64467763,1071.59004,322.2587032,81.13525465,47.47492778,148.6388711,2117.968245,423.4617345,32350.92125,308.6233166,28.34373271,137.7608446,71.64130574,105.3384538
